The Shawshank Redemption,Crime,1994,17796764,https://www.youtube.com/watch?v=6hB3S9bIaco
Schindler's List,Drama,1993,921634,https://www.youtube.com/watch?v=M5FpB6qDGAE
Forrest Gump,Comedy,1994,1345887,https://www.youtube.com/watch?v=bLvqoHBptjg
American Sniper,Action,2014,350230,https://www.youtube.com/watch?v=99k3u9ay1gs
Beauty and the Beast,Romance,2017,79791,https://www.youtube.com/watch?v=e3Nl_TCQXuw
Sweeney Todd: The Demon Barber of Fleet Street,Crime,2007,294745,https://www.youtube.com/watch?v=_4R72KROZ20
The Silence of the Lambs,Crime,1991,951770,https://www.youtube.com/watch?v=lQKs169Sl0I
Minions,Animation,2015,157889,https://www.youtube.com/watch?v=SvKmSNxFHyQ
Corpse Bride,Animation,2005,199731,https://www.youtube.com/watch?v=AGACeWVdFqo
The pianist,Drama,2002,127253,http://www.imdb.com/title/tt0253474
American Beauty,Drama,1999,208264,http://www.imdb.com/title/tt0169547
Pulp Fiction,Crime,1994,541745,http://www.imdb.com/title/tt0110912
The Green Mile,Crime,1999,220772,http://www.imdb.com/title/tt0120689
Blue Is the Warmest Color,Drama,2013,16215,http://www.imdb.com/title/tt2278871
Inception,Action,2010,570290,http://www.imdb.com/title/tt1375666
The Butterfly Effect,Thriller,2004,52183,http://www.imdb.com/title/tt0289879
